"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"5843","AMAT_Milan_feed","729","Sesto S.G. - Cusano M.","","3","","",""
"5844","AMAT_Milan_feed","729","Cusano M. - Sesto S.G.","","3","","",""
"5845","AMAT_Milan_feed","84","Augusto - San Donato M3","","3","","",""
"5846","AMAT_Milan_feed","84","Rogoredo/Porpora - San Donato M3","","3","","",""
"5847","AMAT_Milan_feed","321","Milano - Buccinasco (Lario)","","3","","",""
"5850","AMAT_Milan_feed","52","Bicocca (Universita') - Q.re Comasina","","3","","",""
"5851","AMAT_Milan_feed","41","Senigallia - Gabbro","","3","","",""
"5854","AMAT_Milan_feed","66","Linate - Susa","","3","","",""
"5855","AMAT_Milan_feed","72","Trivulzio - Molino Dorino","","3","","",""
"5858","AMAT_Milan_feed","72","Trivulzio - Molino Dorino (con Silla)","","3","","",""
"5859","AMAT_Milan_feed","72","Novara - Molino Dorino","","3","","",""
"5860","AMAT_Milan_feed","72","Trivulzio - Cim. Maggiore - Molino Dorino","","3","","",""
"5861","AMAT_Milan_feed","72","Novara - Cim. Maggiore - Molino Dorino","","3","","",""
"5862","AMAT_Milan_feed","72","Trivulzio - Cim. Maggiore - Silla - Molino Dorino","","3","","",""
"5863","AMAT_Milan_feed","80","Trivulzio - Betti","","3","","",""
"5864","AMAT_Milan_feed","80","Novara - Betti","","3","","",""
"5870","AMAT_Milan_feed","53","Stz Lambrate - Sesto Marelli M1","","3","","",""
"5871","AMAT_Milan_feed","53","Stz Lambrate - Q.re Adriano","","3","","",""
"5874","AMAT_Milan_feed","81","Stz Lambrate - Stz Centrale","","3","","",""
"5876","AMAT_Milan_feed","81","Stz Lambrate - Stz centrale (lic. per deposito)","","3","","",""
"5890","AMAT_Milan_feed","924","Milano (Stz Lambrate) - Segrate (S. Ambrogio)","","3","","",""
"5891","AMAT_Milan_feed","924","Milano (Stz Lambrate) - Vimodrone (C.na Burrona)","","3","","",""
"5892","AMAT_Milan_feed","924","Milano(Stz  Lambrate) - Vimodrone (C.na Burrona) (senza redecesio)","","3","","",""
"5893","AMAT_Milan_feed","924","Milano (Stz Lambrate) - Segrate (S. Ambrogio) (senza Redecesio)","","3","","",""
"5894","AMAT_Milan_feed","924","Segrate (S. Ambrogio) - Milano (Stz Lambrate)","","3","","",""
"5895","AMAT_Milan_feed","924","Segrate (S. Ambrogio) - Milano (Stz Lambrate) (senza Redecesio)","","3","","",""
"5898","AMAT_Milan_feed","924","Vimodrone (C.na Burrona) - Milano (Stz Lambrate)","","3","","",""
"5899","AMAT_Milan_feed","924","Vimodrone (C.na Borrona) - Milano (Stz Lambrate) (senza Redecesio)","","3","","",""
"5966","AMAT_Milan_feed","728","Cusano M. (Unione) - Milano (stz Centrale)","","3","","",""
"5967","AMAT_Milan_feed","728","Cinisello B. ( A. da Giussano) - Milano (Stz Centrale)","","3","","",""
"5996","AMAT_Milan_feed","923","Stazione FS - Aereoporto Linate","","3","","",""
"6025","AMAT_Milan_feed","37","Repubblica - 6 Febbraio","","3","","",""
"6081","AMAT_Milan_feed","5","V.le Tunisia - Ortica","","0","","",""
"6097","AMAT_Milan_feed","115","Gratosoglio - San Babila (n15)","","3","","",""
"6098","AMAT_Milan_feed","115","San Babila - Gratosoglio (n15)","","3","","",""
"6105","AMAT_Milan_feed","151","Baracchini - Sesto S.G. (nM1)","","3","","",""
"6106","AMAT_Milan_feed","151","Molino Dorino - Lotto (nM1)","","3","","",""
"6109","AMAT_Milan_feed","151","Sesto S.G. - Molino Dorino (nM1)","","3","","",""
